"ID","Player","Color","Move","Eval","isInnovation","Advantage","Result","Comment"
4,"Carlsen, Magnus","W","1. Nf3 ","0.22",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","1... d5 ","0.09",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","2. g3 ","0.12",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","2... g6 ","0.32",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","3. Bg2 ","0.19",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","3... Bg7 ","0.3",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","4. d4 ","0.14",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","4... Nf6 ","0.14",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","5. O-O ","0.14",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","5... O-O ","0.07",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","6. c4 ","0.11",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","6... c6 ","0.11",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","7. b3 ","0.0",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","7... Bf5 ","0.32",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","8. Bb2 ","0.21",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","8... Nbd7 ","0.05",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","9. e3 ","0.13",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","9... Ne4 ","0.32",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","10. Nc3 ","0.4",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","10... Nxc3 ","0.39",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","11. Bxc3 ","0.42",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","11... Be4 ","0.45",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","12. Qe2 ","0.41",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","12... e6 ","0.39",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","13. Rfd1 ","0.33",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","13... a5 ","0.3",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","14. Bf1 ","0.04",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","14... Bxf3 ","0.34",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","15. Qxf3 ","0.29",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","15... Nc5 ","0.53",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","16. Be1 ","0.41",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","16... Ne4 ","0.25",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","17. Bd3 ","0.42",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","17... f5 ","0.46",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","18. Rac1 ","0.0",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","18... g5?! ","0.67",0,"W","1/2-1/2"," Inaccuracy. Rf7 was best. } (18... Rf7 19. Qe2 Bf8 20. f3 Nf6 21. Bc3 Ba3 22. Rb1 Qe7 23. Rf1 Bb4 24. Bb2 Ba3)"
4,"Carlsen, Magnus","W","19. Qe2 ","0.74",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","19... g4 ","1.13",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","20. Bxe4 ","1.23",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","20... fxe4 ","1.24",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","21. Qxg4 ","1.23",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","21... Qe8 ","1.62",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","22. cxd5?! ","0.61",0,"W","1/2-1/2"," Inaccuracy. b4 was best. } (22. b4 h5 23. Qh3 axb4 24. Bxb4 Rf3 25. Rd2 Qf7 26. cxd5 exd5 27. Bd6 Bh6 28. Re2 Kh7)"
4,"Van Foreest, Jorden","B","22... exd5 ","0.78",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","23. Rc5?! ","0.0",0,"W","1/2-1/2"," Inaccuracy. b4 was best. } (23. b4 axb4)"
4,"Van Foreest, Jorden","B","23... h5 ","0.0",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","24. Qh3 ","-0.08",0,"B","1/2-1/2",NA
4,"Van Foreest, Jorden","B","24... Qf7? ","1.02",0,"W","1/2-1/2"," Mistake. b6 was best. } (24... b6)"
4,"Carlsen, Magnus","W","25. Qg2?! ","0.26",0,"W","1/2-1/2"," Inaccuracy. Rb1 was best. } (25. Rb1)"
4,"Van Foreest, Jorden","B","25... a4 ","0.5",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","26. b4?! ","-0.07",0,"B","1/2-1/2"," Inaccuracy. Ra5 was best. } (26. Ra5)"
4,"Van Foreest, Jorden","B","26... Qd7 ","-0.25",0,"B","1/2-1/2",NA
4,"Carlsen, Magnus","W","27. b5 ","0.0",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","27... h4 ","0.0",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","28. Rdc1 ","-0.21",0,"B","1/2-1/2",NA
4,"Van Foreest, Jorden","B","28... Rf6 ","0.0",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","29. bxc6?! ","-0.75",0,"B","1/2-1/2"," Inaccuracy. g4 was best. } (29. g4 Bf8 30. R5c2 Ba3 31. bxc6 bxc6 32. Rb1 Kh7 33. h3 Rg8 34. Rb6 Qc7 35. Rb5 Qa7)"
4,"Van Foreest, Jorden","B","29... bxc6 ","-0.49",0,"B","1/2-1/2",NA
4,"Carlsen, Magnus","W","30. g4 ","-0.55",0,"B","1/2-1/2",NA
4,"Van Foreest, Jorden","B","30... h3 ","-0.17",0,"B","1/2-1/2",NA
4,"Carlsen, Magnus","W","31. Qxh3 ","-0.68",0,"B","1/2-1/2",NA
4,"Van Foreest, Jorden","B","31... Raf8 ","0.0",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","32. Qg2 ","-0.31",0,"B","1/2-1/2",NA
4,"Van Foreest, Jorden","B","32... Rg6 ","0.0",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","33. g5 ","0.0",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","33... Rf5? ","1.12",0,"W","1/2-1/2"," Mistake. Bf6 was best. } (33... Bf6 34. h4 Bd8 35. Rb1 Qc8 36. Ba5 Be7 37. Rb6 Bd8 38. Rb1)"
4,"Carlsen, Magnus","W","34. h4 ","1.05",0,"W","1/2-1/2",NA
4,"Van Foreest, Jorden","B","34... Bf8 ","0.68",0,"W","1/2-1/2",NA
4,"Carlsen, Magnus","W","35. R5c2 ","0.59",0,"W","1/2-1/2",NA
